time_s,Ut1_raw,Ut1_median3,Ut1_raw_bp,Ut1_median3_bp,Ut2_raw,Ut2_median3,Ut2_raw_bp,Ut2_median3_bp
78.78,1996.84143,1996.84143,0.018213239690332977,-0.11340805930820774,1622.39075,1622.31445,-0.16038552194097502,-0.01956357975588517
78.79,1998.82507,1996.84143,0.018671562032923195,-0.1221974102590227,1621.7041,1622.31445,-0.16086586594652144,-0.01736742330770985
78.8,1996.07849,1996.84143,0.01660274205647666,-0.12857775389243495,1622.61963,1622.39075,-0.15929883085872115,-0.015147027750953126
78.81,1996.76514,1996.76514,0.012010061573013514,-0.13204021794511728,1622.31445,1622.31445,-0.15568966049481628,-0.012736359643260586
78.82,1999.58801,1996.76514,0.005090097312980935,-0.13224442139930212,1619.2627,1622.31445,-0.15015696813951934,-0.01002818839043719
78.83,1996.61255,1996.76514,-0.0038048919398137593,-0.12904258868353663,1622.39075,1622.31445,-0.14294583676740424,-0.006979722628677534
78.84,1996.61255,1996.61255,-0.014226702533597119,-0.12249832162771113,1622.31445,1622.31445,-0.13440571876000781,-0.003611666867675445
78.85,1996.91772,1996.61255,-0.025700925708686623,-0.11289527993273199,1622.31445,1622.31445,-0.12492938691577049,-5.627708122291075e-07
78.86,1996.68884,1996.68884,-0.03778610480070485,-0.1007303636659404,1622.46704,1622.31445,-0.11487000731711319,0.003735000468038943
78.87,1996.68884,1996.68884,-0.05010147157844835,-0.08668718615201304,1622.39075,1622.39075,-0.10446603493131269,0.007452681253801177
78.88,1999.20654,1996.68884,-0.062314979967741935,-0.07158859350799446,1620.86487,1622.39075,-0.09380012749546023,0.011006508113170776
78.89,1996.76514,1996.76514,-0.07410139659854742,-0.05633084043783479,1622.39075,1622.39075,-0.08280410105280303,0.014265480540363834
78.9,1996.0022,1996.76514,-0.085091594650366,-0.041805617636737624,1622.77222,1622.39075,-0.07130798276581106,0.01712742242232114
78.91,1998.13843,1996.76514,-0.09483285883012588,-0.02881869106944393,1621.85669,1622.39075,-0.05912368398147359,0.019525950220898453
78.92,1996.76514,1996.76514,-0.10277138780941128,-0.01801514981081062,1622.31445,1622.31445,-0.046150323558365194,0.021430205325018575
78.93,1996.91772,1996.91772,-0.10826222996239904,-0.00982111477536693,1622.31445,1622.31445,-0.032482683277138796,0.022838919125979032
78.94,1998.97766,1996.91772,-0.1106107883793717,-0.004410298596064011,1619.2627,1622.31445,-0.018495798736872904,0.023771793046531625
78.95,1995.77332,1996.91772,-0.10914803206378237,-0.0017009087119056465,1622.77222,1622.31445,-0.00487386643636753,0.024261549520449233
78.96,1996.53625,1996.53625,-0.10333423114722355,-0.0013837446060991632,1622.39075,1622.39075,0.007440958867823033,0.024349155268691247
78.97,1998.13843,1996.53625,-0.09287536091959835,-0.00297633522620519,1622.00928,1622.39075,0.017382446371725563,0.02408298530442475
78.98,1996.68884,1996.68884,-0.07782900586802784,-0.005892523047147935,1622.39075,1622.39075,0.023952524844711928,0.023520844572444563
78.99,1996.68884,1996.68884,-0.058676954568774226,-0.009514632870993536,1622.39075,1622.39075,0.026429855216733328,0.0227325599675976
79.0,1997.14661,1996.68884,-0.036346748044717964,-0.013257219764980205,1622.39075,1622.39075,0.02454986129093252,0.021800667780171645
79.01,1996.53625,1996.68884,-0.01217029086582215,-0.016615710266556435,1622.39075,1622.39075,0.01861903297230276,0.0208174061281141
79.02,1996.68884,1996.68884,0.01222429654520868,-0.019197533029530145,1622.39075,1622.39075,0.00953952542844147,0.019877376585715076
79.03,1998.90137,1996.68884,0.03507881859232301,-0.020736328013685093,1621.7041,1622.39075,-0.001263489002611029,0.019066529217233216
79.04,1996.68884,1996.68884,0.05470600470701743,-0.02109160008166995,1622.31445,1622.31445,-0.012001889470867291,0.018449357634176045
79.05,1996.07849,1996.68884,0.06969281437712706,-0.020237110311813786,1622.54333,1622.31445,-0.020747283095464558,0.018057172056928493
79.06,1999.28284,1996.68884,0.07907354402741773,-0.018241550412193774,1620.4834,1622.31445,-0.02568138416733496,0.01788071277848742
79.07,1996.53625,1996.53625,0.0824470652188588,-0.015244724153638284,1622.39075,1622.39075,-0.025334726436855484,0.01786978429509832
79.08,1996.68884,1996.68884,0.08002085394936279,-0.011431812397837124,1622.39075,1622.39075,-0.018776353426311385,0.017940965828565393
79.09,1998.97766,1996.68884,0.07257384189743843,-0.007007772629478229,1620.94116,1622.39075,-0.005726773225616863,0.017992322496217336
79.1,1996.07849,1996.68884,0.06134184347585753,-0.0021738216499240792,1622.61963,1622.39075,0.013418365067754581,0.01792225884764513
